,message,fingers,tail,species,preprocessed_message,processedMessage
345,zechan synapz holox lazerqn,3,no,Cybex,"['Zechan', 'synopsis', 'hello', 'lazerqn']",zechan synopsis hello lazerqn
346,faerix elvex magix,5,yes,Mythron,"['to', 'be', 'done', 'elve', 'magi']",done elve magi
347,mechan robonix quantix,2,no,Cybex,"['mechanic', 'robot', 'how', 'much']",mechanic robot much
348,cosmix nebulax ufox warpz vortex,4,no,Zorblax,"['cosmos', 'fog', 'ufo', 'warp', 'word']",cosmos fog ufo warp word
349,titanos epikoz mythjx fabulon epikoz herox beastpx,7,no,Mythron,"['the', 'titan', 'epic', 'myth', 'fable', 'epic', 'hero', 'beast']",titan epic myth fable epic hero beast
350,foliar rootix terranix,1,yes,Florian,"['leaf', 'rooted', 'earthling']",leaf rooted earthling
351,fenix gryphox centarer faerix sirenix cyclopix fabulon mzgix,4,yes,Mythron,"['hay', 'faucet', 'center', 'to', 'be', 'done', 'siren', 'cyclops', 'fable', 'mzgi']",hay faucet center done siren cyclops fable mzgi
352,leafon foliar floraz ventus,5,no,Aquari,"['leafon', 'leaf', 'flower', 'favorite']",leafon leaf flower favorite
353,lazeron robonix holox technos digitron quantix,5,yes,Nexoon,"['laser', 'robot', 'hello', 'techno', 'digitron', 'how', 'much']",laser robot hello techno digitron much
354,lunox stjrdux quasar vortex novara pulsox cosmix celestar,5,yes,Zorblax,"['the', 'moon', 'stjrdu', 'quasar', 'word', 'novel', 'knock', 'cosmos', 'celestial']",moon stjrdu quasar word novel knock cosmos celestial
355,cybrex cybrex quantaz,5,no,Nexoon,"['cyber', 'cyber', 'how', 'much']",cyber cyber much
356,fabulon magix kgakos relikum,3,no,Faerix,"['fable', 'magi', 'kgakos', 'the', 'rest']",fable magi kgakos rest
357,warpz kometa galaxuw nebulax glixx,3,no,Quixnar,"['warp', 'comet', 'galaxy', 'fog', 'glix']",warp comet galaxy fog glix
358,gaiax gaiax foliar biomar solux biomar nerba herba,5,no,Aquari,"['gaia', 'gaia', 'leaf', 'biomar', 'alone', 'biomar', 'nerve', 'grass']",gaia gaia leaf biomar alone biomar nerve grass
359,ventus aquos gaiax biomar terram,6,no,Aquari,"['favorite', 'water', 'gaia', 'biomar', 'the', 'earth']",favorite water gaia biomar earth
360,floraz gaiax herba sporzlm ekos,1,no,Florian,"['flower', 'gaia', 'grass', 'sporzlm', 'eco']",flower gaia grass sporzlm eco
361,unikor tetanos mermax epikoz fabulon,3,no,Faerix,"['unique', 'tetanus', 'merma', 'epic', 'fable']",unique tetanus merma epic fable
362,awezom zenox excitar shockus fearix ragex,4,yes,Sentire,"['awesome', 'Zeno', 'is', 'excited', 'shock', 'to', 'be', 'feared', 'rage']",awesome zeno excited shock feared rage
363,fearix pridius sorrowz calmoa awezom truztix zenox,5,yes,Sentire,"['to', 'be', 'feared', 'earlier', 'sorrow', 'calm', 'awesome', 'truzti', 'Zeno']",feared earlier sorrow calm awesome truzti zeno
364,fboraz floraz herba sponzom seypod pluvia,4,yes,Aquari,"['fbora', 'flower', 'grass', 'spouse', 'seapod', 'rain']",fbora flower grass spouse seapod rain
365,angstox anxius gleex shockus luvgum trusqix luvium,2,yes,Sentire,"['anxious', 'anxious', 'glee', 'shock', 'luvgum', 'trusqi', 'snow']",anxious anxious glee shock luvgum trusqi snow
366,floraz pollex floran ventus solux,0,yes,Florian,"['flower', 'pull', 'they', 'bloom', 'favorite', 'alone']",flower pull bloom favorite alone
367,datax neuraz datax,5,yes,Nexoon,"['data', 'Neura', 'data']",data neura data
368,crqptoz cybron quantix,1,no,Cybex,"['crqpto', 'cyber', 'how', 'much']",crqpto cyber much
369,fenix sagax unikor sagax nympha,3,no,Faerix,"['hay', 'saga', 'unique', 'saga', 'nymph']",hay saga unique saga nymph
370,herba leafon solux,2,no,Aquari,"['grass', 'leafon', 'alone']",grass leafon alone
371,seepod petros solux petros floran pollex faunar arcor,4,no,Aquari,"['seapod', 'rock', 'alone', 'rock', 'they', 'bloom', 'pull', 'fauna', 'archer']",seapod rock alone rock bloom pull fauna archer
372,floran arbor seepod floren terranix ventus riotix floraz,5,no,Aquari,"['they', 'bloom', 'a', 'tree', 'seapod', 'bloom', 'earthling', 'favorite', 'Riot', 'flower']",bloom tree seapod bloom earthling favorite riot flower
373,novum quasar nebuz nxbuz glixx vortex,6,yes,Zorblax,"['new', 'quasar', 'in', 'the', 'sky', 'nxbu', 'glix', 'word']",new quasar sky nxbu glix word
374,blissam calmox blissam febrix,6,yes,Sentire,"['bliss', 'calm', 'bliss', 'fever']",bliss calm bliss fever
375,kometa vortex lunbx vortex,7,yes,Zorblax,"['comet', 'word', 'Monday', 'word']",comet word monday word
376,terranix terranix leaion nimbus,2,no,Aquari,"['earthling', 'earthling', 'lion', 'cloud']",earthling earthling lion cloud
377,sovax novum warpz celestar quasar solarix quasar,6,yes,Zorblax,"['wild', 'new', 'warp', 'celestial', 'quasar', 'solar', 'quasar']",wild new warp celestial quasar solar quasar
378,zenow furio dredax pridius,5,yes,Sentire,"['zenow', 'in', 'a', 'rage', 'dreds', 'earlier']",zenow rage dreds earlier
379,novum blapoz astron zolp novara cosmix novara cehestar,5,no,Quixnar,"['new', 'bark', 'astron', 'zolp', 'novel', 'cosmos', 'novel', 'it', ""'s"", 'a', 'cakewalk']",new bark astron zolp novel cosmos novel 's cakewalk
380,insectus leafon faunar arbon ventus hzrba biomar,3,yes,Florian,"['insect', 'leafon', 'fauna', 'tree', 'favorite', 'hzrba', 'biomar']",insect leafon fauna tree favorite hzrba biomar
381,ekstax trustix shamex furio disgux,1,yes,Emotivor,"['eksta', 'trust', 'shame', 'in', 'a', 'rage', 'discus']",eksta trust shame rage discus
382,feniy fenwx fabulon relikum fenix elvex sirenix magix,3,yes,Mythron,"['feni', 'fenw', 'fable', 'the', 'rest', 'hay', 'elve', 'siren', 'magi']",feni fenw fable rest hay elve siren magi
383,deitax drakos mythox,8,yes,Mythron,"['deity', 'dragon', 'myth']",deity dragon myth
384,cybron hollx digitrtn nexus datax,2,no,Cybex,"['cyber', 'holl', 'digital', 'connection', 'data']",cyber holl digital connection data
385,herox gryphox epikot magix relikum sirenix goblax lsrix,3,yes,Mythron,"['hero', 'faucet', 'epicot', 'magi', 'the', 'rest', 'siren', 'goblet', 'lsri']",hero faucet epicot magi rest siren goblet lsri
386,angstic sorrowz shamex fearix joyzor,2,no,Emotivor,"['anxious', 'sorrow', 'shame', 'to', 'be', 'feared', 'joyzor']",anxious sorrow shame feared joyzor
387,furio gleex sorrowz ragex lumium blissam luvium,4,yes,Sentire,"['in', 'a', 'rage', 'glee', 'sorrow', 'rage', 'the', 'light', 'bliss', 'snow']",rage glee sorrow rage light bliss snow
388,mermax deitax nympha relikum sagmx faerix unikor,5,yes,Mythron,"['merma', 'deity', 'nymph', 'the', 'rest', 'sagm', 'to', 'be', 'done', 'unique']",merma deity nymph rest sagm done unique
389,sllux ventus insestus aquos rootix,5,yes,Florian,"['sllu', 'favorite', 'incest', 'water', 'rooted']",sllu favorite incest water rooted
390,shockss fearix calmox fearix luvium disvux,2,no,Emotivor,"['shock', 'to', 'be', 'feared', 'calm', 'to', 'be', 'feared', 'snow', 'split']",shock feared calm feared snow split
391,virtua neuraz aeon synapz codex,6,yes,Nexoon,"['virtue', 'Neura', 'aeon', 'synopsis', 'code']",virtue neura aeon synopsis code
392,furio dredax awezom,4,no,Sentire,"['in', 'a', 'rage', 'dreds', 'awesome']",rage dreds awesome
393,goblax elvex fabulon,6,yes,Mythron,"['goblet', 'elve', 'fable']",goblet elve fable
394,zalaxum cosmix stardux nebzz galaxum,6,yes,Zorblax,"['zalaxum', 'cosmos', 'to', 'stare', 'nebz', 'galaxy']",zalaxum cosmos stare nebz galaxy
395,herox elvex sagax gobqax unikor fenix,6,yes,Mythron,"['hero', 'elve', 'saga', 'gobqa', 'unique', 'hay']",hero elve saga gobqa unique hay
396,codex cywrex lazeron cybron mechan mechan nanobyt aeon,0,no,Cybex,"['code', 'cywre', 'laser', 'cyber', 'mechanic', 'mechanic', 'nanobyte', 'aeon']",code cywre laser cyber mechanic mechanic nanobyte aeon
397,ventus herba nimbus terranix nimbus,1,yes,Florian,"['favorite', 'grass', 'cloud', 'earthling', 'cloud']",favorite grass cloud earthling cloud
398,titanos fjerix krakos gryphox mythox,7,yes,Mythron,"['the', 'titan', 'burn', 'krakos', 'faucet', 'myth']",titan burn krakos faucet myth
399,terram solix insectus,3,yes,Florian,"['the', 'earth', 'alone', 'insect']",earth alone insect
400,shamex fearix empathix dredax luvium,2,yes,Sentire,"['shame', 'to', 'be', 'feared', 'empathize', 'dreds', 'snow']",shame feared empathize dreds snow
401,zephyr zephyr herba leafon pluvia,4,no,Aquari,"['zephyr', 'zephyr', 'grass', 'leafon', 'rain']",zephyr zephyr grass leafon rain
402,gaiax terrnm oimbus zephyr,3,no,Florian,"['gaia', 'terrible', 'oimbus', 'zephyr']",gaia terrible oimbus zephyr
403,qualar stardux celejtar,5,no,Quixnar,"['such', 'a', 'to', 'stare', 'be', 'sealed']",stare sealed
404,solarix xeno cosmix febulax,5,yes,Quixnar,"['solar', 'xeno', 'cosmos', 'weakness']",solar xeno cosmos weakness
405,codex quantix mechan weon biotex mechan quantaz virtua,2,no,Cybex,"['code', 'how', 'much', 'mechanic', 'weon', 'biota', 'mechanic', 'how', 'much', 'virtue']",code much mechanic weon biota mechanic much virtue
406,krakos centarex sirtnix faerix goblax beastix,4,no,Faerix,"['krakos', 'to', 'center', 'sirtni', 'to', 'be', 'done', 'goblet', 'blessed']",krakos center sirtni done goblet blessed
407,syuapz dronix digitrop,3,no,Cybex,"['syuap', 'drone', 'fingertip']",syuap drone fingertip
408,calmox sadix ragex disgux,2,no,Emotivor,"['calm', 'sad', 'rage', 'discus']",calm sad rage discus
409,awezom shockus ragex anxius blissac shockus,2,yes,Sentire,"['awesome', 'shock', 'rage', 'anxious', 'bliss', 'shock']",awesome shock rage anxious bliss shock
410,aviana terranix solux selux gaiax floraz terrrm,1,yes,Florian,"['avian', 'earthling', 'alone', 'selu', 'gaia', 'flower', 'terrible']",avian earthling alone selu gaia flower terrible
411,kometa orbitaz galaxym novara,2,no,Quixnar,"['comet', 'orbit', 'the', 'galaxy', 'novel']",comet orbit galaxy novel
412,legax beastix herox cyclopix,4,yes,Faerix,"['read', 'blessed', 'hero', 'cyclops']",read blessed hero cyclops
413,oanobyt quantaz nanozom aeon,3,yes,Nexoon,"['oanobyt', 'how', 'much', 'nanozom', 'aeon']",oanobyt much nanozom aeon
414,nymphb fenix gryphov legax gmblax epikoz nympha,4,no,Faerix,"['nymphb', 'hay', 'gryphov', 'read', 'gmbla', 'epic', 'nymph']",nymphb hay gryphov read gmbla epic nymph
415,lazeron mechan robonix nexus robonix nanobyt,0,no,Cybex,"['laser', 'mechanic', 'robot', 'connection', 'robot', 'nanobyte']",laser mechanic robot connection robot nanobyte
416,pulsox solarix astrob kometa eeno lunnx,6,yes,Zorblax,"['knock', 'solar', 'star', 'comet', 'I', 'am', 'lunn']",knock solar star comet i lunn
417,furio luvium blissam empathix zenox shamex vridius,2,yes,Emotivor,"['in', 'a', 'rage', 'snow', 'bliss', 'empathize', 'Zeno', 'shame', 'more']",rage snow bliss empathize zeno shame
418,elvex deitax magix sirenix gryphpx beasxix,4,no,Mythron,"['elve', 'deity', 'magi', 'siren', 'gryphp', 'I', 'lied']",elve deity magi siren gryphp i lied
419,faerix deirax sagax mythox cyclopix lorix,3,yes,Mythron,"['to', 'be', 'done', 'miss', 'saga', 'myth', 'cyclops', 'to', 'wear']",done miss saga myth cyclops wear
420,pulsar ncbuz nebuhax novara nebuz,5,yes,Zorblax,"['pulsar', 'ncbu', 'nebuha', 'novel', 'in', 'the', 'sky']",pulsar ncbu nebuha novel sky
421,floraj insectus pollex pluvia aviana pluvia,1,yes,Florian,"['flower', 'insect', 'pull', 'rain', 'avian', 'rain']",flower insect pull rain avian rain
422,dortex nebulax solariy celestar,4,no,Zorblax,"['to', 'sleep', 'fog', 'solar', 'celestial']",sleep fog solar celestial
423,datax cybron nanobyt datax,3,no,Cybex,"['data', 'cyber', 'nanobyte', 'data']",data cyber nanobyte data
424,qebuz pulsar blapoz novum,6,yes,Quixnar,"['what', 'pulsar', 'bark', 'new']",pulsar bark new
425,ekos hfrba pollex biomar sporzom aviana,2,no,Aquari,"['eco', 'hfrba', 'pull', 'biomar', 'sporzom', 'avian']",eco hfrba pull biomar sporzom avian
426,cybroi biotex cryptoz,1,no,Cybex,"['cyber', 'biota', 'crypto']",cyber biota crypto
427,ventus gaiax floraz herba,5,no,Aquari,"['favorite', 'gaia', 'flower', 'grass']",favorite gaia flower grass
428,pollex gaiax leafon,2,no,Aquari,"['pull', 'gaia', 'leafon']",pull gaia leafon
429,technos codex cybfon quantaz biotex,1,yes,Cybex,"['techno', 'code', 'cybfon', 'how', 'much', 'biota']",techno code cybfon much biota
430,ekos ventus terranix aqjos aquoe floran terram,5,no,Aquari,"['eco', 'favorite', 'earthling', 'aqjos', 'with', 'water', 'they', 'bloom', 'the', 'earth']",eco favorite earthling aqjos water bloom earth
431,xeno nebulax ufox ufox cosmix pulsox,5,no,Quixnar,"['xeno', 'fog', 'ufo', 'ufo', 'cosmos', 'knock']",xeno fog ufo ufo cosmos knock
432,floran seepod pluvia tprranix avisna aviana,0,yes,Florian,"['they', 'bloom', 'seapod', 'rain', 'tprrani', 'goat', 'avian']",bloom seapod rain tprrani goat avian
433,solarix pulsar bqapoz,5,no,Quixnar,"['solar', 'pulsar', 'bqapo']",solar pulsar bqapo
434,soluz gaiax mephyr fephyr sporzom,4,no,Aquari,"['alone', 'gaia', 'mephyr', 'fever', 'sporzom']",alone gaia mephyr fever sporzom
435,pluvia gaiax terranix petros ekos faunar rootix pollex,5,no,Florian,"['rain', 'gaia', 'earthling', 'rock', 'eco', 'fauna', 'rooted', 'pull']",rain gaia earthling rock eco fauna rooted pull
436,zorf solarix kometa zorp lunox,5,yes,Zorblax,"['Zorf', 'solar', 'comet', 'zorp', 'the', 'moon']",zorf solar comet zorp moon
437,astron novax novax pulsar warpz norax cosmix vortex,3,no,Quixnar,"['astron', 'new', 'new', 'pulsar', 'warp', 'daughter-in-law', 'cosmos', 'word']",astron new new pulsar warp daughter-in-law cosmos word
438,nexus robonix mechan dronix qulntaz cryptoz,2,no,Cybex,"['connection', 'robot', 'mechanic', 'drone', 'qulnta', 'crypto']",connection robot mechanic drone qulnta crypto
439,herba gaiax biomar pluvia florgz rookix leaion herba,5,no,Aquari,"['grass', 'gaia', 'biomar', 'rain', 'flower', 'rookie', 'lion', 'grass']",grass gaia biomar rain flower rookie lion grass
440,sirenix gryphox sagax unikor mymhox goblax unikor,6,yes,Mythron,"['siren', 'faucet', 'saga', 'unique', 'My', 'name', 'goblet', 'unique']",siren faucet saga unique my name goblet unique
441,jpyzor sadix gleex zenox gleex joyzor ragex,1,no,Emotivor,"['jpyzor', 'sad', 'glee', 'Zeno', 'glee', 'joyzor', 'rage']",jpyzor sad glee zeno glee joyzor rage
442,drosix tecanos nanozom technos aeon digitron techih,3,no,Cybex,"['dross', 'the', 'thecans', 'nanozom', 'techno', 'aeon', 'digitron', 'technology']",dross thecans nanozom techno aeon digitron technology
443,nympha relikum bitanos centarex faerix titanos mermax epikoz,7,no,Mythron,"['nymph', 'the', 'rest', 'bitans', 'to', 'center', 'to', 'be', 'done', 'the', 'titan', 'merma', 'epic']",nymph rest bitans center done titan merma epic
444,cosex lazeron synapz quantaz cybron quantix neuraz,5,yes,Nexoon,"['reap', 'laser', 'synopsis', 'how', 'much', 'cyber', 'how', 'much', 'Neura']",reap laser synopsis much cyber much neura
445,qudsar pulsox pulsox zorp nebulax,7,yes,Zorblax,"['why', '?', 'knock', 'knock', 'zorp', 'fog']",? knock knock zorp fog
446,herox beastix sirenix unikor gryphox feyix,6,no,Mythron,"['hero', 'blessed', 'siren', 'unique', 'faucet', 'feyi']",hero blessed siren unique faucet feyi
447,quasar solarix quasar blapoz quasar galaxum,4,yes,Quixnar,"['quasar', 'solar', 'quasar', 'bark', 'quasar', 'galaxy']",quasar solar quasar bark quasar galaxy
448,petros terranix terram ventus,5,no,Aquari,"['rock', 'earthling', 'the', 'earth', 'favorite']",rock earthling earth favorite
449,ufow nebuz ufox xeno cosmix bvapoz zorp,5,no,Quixnar,"['ufow', 'in', 'the', 'sky', 'ufo', 'xeno', 'cosmos', 'breath', 'zorp']",ufow sky ufo xeno cosmos breath zorp
450,galaxum celestar stardux,5,no,Quixnar,"['galaxy', 'celestial', 'to', 'stare']",galaxy celestial stare
451,shockbs shamex euphorix zenox trustix ragux luvium,2,yes,Sentire,"['shock', 'shame', 'of', 'euphoria', 'Zeno', 'trust', 'ragu', 'snow']",shock shame euphoria zeno trust ragu snow
452,legax fabulon faerix unikor herox,3,no,Faerix,"['read', 'fable', 'to', 'be', 'done', 'unique', 'hero']",read fable done unique hero
453,goblam gryphox krmkos malix sagax fenix sirenix gryphox,4,no,Faerix,"['gobble', 'faucet', 'krmkos', 'evil', 'saga', 'hay', 'siren', 'faucet']",gobble faucet krmkos evil saga hay siren faucet
454,ufox cosmix novara novum,3,no,Quixnar,"['ufo', 'cosmos', 'novel', 'new']",ufo cosmos novel new
455,lazeron cybron cryptoz robonix biotex holox digitron lazeron,1,yes,Cybex,"['laser', 'cyber', 'crypto', 'robot', 'biota', 'hello', 'digitron', 'laser']",laser cyber crypto robot biota hello digitron laser
456,leafon leafon pollex,4,no,Aquari,"['leafon', 'leafon', 'pull']",leafon leafon pull
457,solux nimbus floraz gaiax seepod,4,yes,Florian,"['alone', 'cloud', 'flower', 'gaia', 'seapod']",alone cloud flower gaia seapod
458,astron glixx solarix solarix orbitaz rtardux warpz,4,yes,Zorblax,"['astron', 'glix', 'solar', 'solar', 'orbit', 'rtardu', 'warp']",astron glix solar solar orbit rtardu warp
459,terranix terranix herba gniax,0,yes,Florian,"['earthling', 'earthling', 'grass', 'gnome']",earthling earthling grass gnome
460,awezom furio awezom disgux,2,yes,Emotivor,"['awesome', 'in', 'a', 'rage', 'awesome', 'discus']",awesome rage awesome discus
461,herox eegax deitax xnikor herox,3,no,Faerix,"['hero', 'yes', 'deity', 'xnikor', 'hero']",hero yes deity xnikor hero
462,sadix ekstax anxiuz sqockus,1,yes,Emotivor,"['sad', 'eksta', 'anxiously', 'squeal']",sad eksta anxiously squeal
463,virtua biotex algorix,5,yes,Nexoon,"['virtue', 'biota', 'I', 'am', 'sorry']",virtue biota i sorry
464,terram aviaia terranix nimbus zephyr,3,yes,Florian,"['the', 'earth', 'grandma', 'earthling', 'cloud', 'zephyr']",earth grandma earthling cloud zephyr
465,cyclopix deitax centarex drakos faerix magix sagax,4,no,Faerix,"['cyclops', 'deity', 'to', 'center', 'dragon', 'to', 'be', 'done', 'magi', 'saga']",cyclops deity center dragon done magi saga
466,dronix cybrex codex nexus holox technos codex lazeron,3,no,Cybex,"['drone', 'cyber', 'code', 'connection', 'hello', 'techno', 'code', 'laser']",drone cyber code connection hello techno code laser
467,ragex fearix mopium excvtar,3,yes,Sentire,"['rage', 'to', 'be', 'feared', 'opium', 'excvtar']",rage feared opium excvtar
468,quasar galaxum xeno blapoz,5,no,Quixnar,"['quasar', 'galaxy', 'xeno', 'bark']",quasar galaxy xeno bark
469,ventus biumar floxan pollex zephyr terram faunar pluvia,4,yes,Florian,"['favorite', 'biumar', 'floxan', 'pull', 'zephyr', 'the', 'earth', 'fauna', 'rain']",favorite biumar floxan pull zephyr earth fauna rain
470,kometa zorp wanpz nebuz nebulax,7,yes,Zorblax,"['comet', 'zorp', 'wanp', 'in', 'the', 'sky', 'fog']",comet zorp wanp sky fog
471,cryptoz quantix aeon virtua,0,no,Cybex,"['crypto', 'how', 'much', 'aeon', 'virtue']",crypto much aeon virtue
472,floraz petros rootix pluvia biomar petros pluvia,4,no,Aquari,"['flower', 'rock', 'rooted', 'rain', 'biomar', 'rock', 'rain']",flower rock rooted rain biomar rock rain
473,ufox novax stardux,6,yes,Zorblax,"['ufo', 'new', 'to', 'stare']",ufo new stare
474,deitax gryphox nympha herox fenpx sirenix,8,yes,Mythron,"['deity', 'faucet', 'nymph', 'hero', 'fenp', 'siren']",deity faucet nymph hero fenp siren
475,quantaz lazeron technos codeu neuraz nanobyt mechun,3,no,Cybex,"['how', 'much', 'laser', 'techno', 'code', 'Neura', 'nanobyte', 'mechun']",much laser techno code neura nanobyte mechun
476,goilax mythox sirenix epikoz sagax deitax,3,yes,Faerix,"['goila', 'myth', 'siren', 'epic', 'saga', 'deity']",goila myth siren epic saga deity
477,solarix glixx quasar lunox,3,no,Quixnar,"['solar', 'glix', 'quasar', 'the', 'moon']",solar glix quasar moon
478,sirepix beastix mermax titayos unikor cyclopix titanos,8,no,Mythron,"['siripe', 'blessed', 'merma', 'titayos', 'unique', 'cyclops', 'the', 'titan']",siripe blessed merma titayos unique cyclops titan
479,lazeron quantaz quantaz,2,no,Cybex,"['laser', 'how', 'much', 'how', 'much']",laser much much
480,algorix nanobyt circux neuraz neuraz,2,no,Cybex,"['I', 'am', 'sorry', 'nanobyte', 'circle', 'Neura', 'Neura']",i sorry nanobyte circle neura neura
481,epikoz draaos elvex krakos sirenix faerkx,6,yes,Mythron,"['epic', 'dragon', 'elve', 'krakos', 'siren', 'faerk']",epic dragon elve krakos siren faerk
482,disgux fearix venox shockus,1,no,Emotivor,"['discus', 'to', 'be', 'feared', 'come', 'shock']",discus feared come shock
483,mechan virtua quantaz codex tecfnos,3,no,Cybex,"['mechanic', 'virtue', 'how', 'much', 'code', 'cover', 'u']",mechanic virtue much code cover u
484,lazeron robonix nanozom,4,no,Cybex,"['laser', 'robot', 'nanozom']",laser robot nanozom
485,cryptoz cryptoz robonix virtud holox quantix,6,yes,Nexoon,"['crypto', 'crypto', 'robot', 'strength', 'hello', 'how', 'much']",crypto crypto robot strength hello much
486,truotix joyzor hopium sapix ragex joyzor anxius,1,no,Emotivor,"['punched', 'joyzor', 'hop', 'wise', 'rage', 'joyzor', 'anxious']",punched joyzor hop wise rage joyzor anxious
487,tqustix dredax kurio shamex annstix fearjx,4,yes,Sentire,"['you', 'dreds', 'to', 'whom', 'shame', 'you', 'have', 'fear']",dreds shame fear
488,terranix herba petros faunar aquon zquos,3,no,Aquari,"['earthling', 'grass', 'rock', 'fauna', 'water', 'those']",earthling grass rock fauna water
489,drakos kzakos titanos cyclopix epikoz deitax herox goblax,3,no,Faerix,"['dragon', 'kzakos', 'the', 'titan', 'cyclops', 'epic', 'deity', 'hero', 'goblet']",dragon kzakos titan cyclops epic deity hero goblet
490,robonix aeon technos techip datax,5,yes,Nexoon,"['robot', 'aeon', 'techno', 'technology', 'data']",robot aeon techno technology data
491,gryphox faerix fenix faerix,7,no,Mythron,"['faucet', 'to', 'be', 'done', 'hay', 'to', 'be', 'done']",faucet done hay done
492,synapz holox quansix nanobyt neuraz neuraz nanozom cybron,3,no,Cybex,"['synopsis', 'hello', 'a', 'if', 'nanobyte', 'Neura', 'Neura', 'nanozom', 'cyber']",synopsis hello nanobyte neura neura nanozom cyber
493,ragex ekstax pridius przdius,1,no,Emotivor,"['rage', 'eksta', 'earlier', 'przdius']",rage eksta earlier przdius
494,quantix aeop aeon,6,no,Nexoon,"['how', 'much', 'aeop', 'aeon']",much aeop aeon
495,empathix sadix disgux dredax pridius afgstix excitar,2,no,Emotivor,"['empathize', 'sad', 'discus', 'dreds', 'earlier', 'afgst', 'is', 'excited']",empathize sad discus dreds earlier afgst excited
496,quasar ustron nebulax meteorn,4,no,Quixnar,"['quasar', 'burn', 'fog', 'meteorn']",quasar burn fog meteorn
497,astron xeno ceaestar astron kometa,6,yes,Zorblax,"['astron', 'xeno', 'dinner', 'astron', 'comet']",astron xeno dinner astron comet
498,sporzom nimbus terram terranix aviana ekos nimbub,2,yes,Florian,"['sporzom', 'cloud', 'the', 'earth', 'earthling', 'avian', 'eco', 'nimbub']",sporzom cloud earth earthling avian eco nimbub
499,blastix titanos relikum drakos gryphox sirenix,4,yes,Mythron,"['blasted', 'the', 'titan', 'the', 'rest', 'dragon', 'faucet', 'siren']",blasted titan rest dragon faucet siren
